,airline_sentiment,airline,name,text,date
558,positive,United,sundialtours,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU",2015-02-24
559,negative,United,SEGrower,"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward.",2015-02-24
560,negative,United,cristobalwong,@united A measly $50 e-certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116. #unacceptable,2015-02-24
561,negative,United,logainne,@united When will email address/username sign-on be available? It's been a while.,2015-02-24
562,positive,United,LukeGzus,@united Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?,2015-02-24
563,negative,United,chrsmichaels,@united rude rude,2015-02-24
564,negative,United,mattwbaker,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp; I am stuck outside sec,2015-02-24
565,negative,United,Joestudent11,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback,2015-02-24
566,negative,United,Joestudent11,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,2015-02-24
567,negative,United,johnkarpf,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome,2015-02-24
568,negative,United,CheerTymeDad,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!,2015-02-24
569,negative,United,johnkarpf,@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.,2015-02-24
570,negative,United,Micaela4Mizzou,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes,2015-02-24
571,neutral,United,BocheBillions,@united 6533 ORD to DCA,2015-02-24
572,negative,United,discobiscuit63,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor.""",2015-02-24
573,negative,United,Peter_Abrahamse,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.,2015-02-24
574,negative,United,fuchsialipstick,@united I will not be flying you again,2015-02-24
575,negative,United,fuchsialipstick,"@united in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight.",2015-02-24
576,neutral,United,kevintgarner,"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!",2015-02-24
577,neutral,United,fuchsialipstick,@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?,2015-02-24
578,positive,United,discobiscuit63,@united I flew United last month and the experience was AWESOME!,2015-02-24
579,negative,United,discobiscuit63,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.,2015-02-24
580,negative,United,fuchsialipstick,"@united v upset with your disability  ""services"". When I told one of your employees I was carrying medical equipment she was very rude.",2015-02-24
581,negative,United,discobiscuit63,@united thnx for quick reply but don't think you can assist. Our intl grp will be put to considerable inconvenience today.,2015-02-24
582,negative,United,LarkAfterDark,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!,2015-02-24
583,negative,United,getmeontop,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!,2015-02-24
584,negative,United,jkentakula,"@united as a 1k, I'm always hoping for improvement.",2015-02-24
585,negative,United,jasonpblakey,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?,2015-02-24
586,negative,United,discobiscuit63,@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.,2015-02-24
587,negative,United,jkentakula,@united mobile apps need construction from the ground up for each OS category.  It's expensive to get right .,2015-02-24
588,negative,United,BillBra95467934,@united another fail for the United ticket agents in OKC. LESS than helpful and could care less about our problems. American here we come.,2015-02-24
589,positive,United,JoshuaIsWrong,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat.",2015-02-24
590,neutral,United,jkentakula,@united the os isn't controlled by me but rather @VerizonWireless .  App is new.,2015-02-24
591,negative,United,debweinz,"@united I just sent an email to Customer Care, telling them I may have to break up with you 😢. I sincerely hope they can help me!!",2015-02-24
592,negative,United,mbelliss,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,2015-02-24
593,negative,United,mattbunk,@united What is your phone number. I can't find who to call about a flight reservation.,2015-02-24
594,negative,United,throthra,"@united well, you can't fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it.",2015-02-24
595,negative,United,throthra,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did.",2015-02-24
596,negative,United,jakepoznak,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,2015-02-24
597,negative,United,AldenGlobe,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.,2015-02-24
598,positive,United,cehertz,@united for the record- Rozana at Newark was lovely and helpful. #choosekind,2015-02-24
599,neutral,United,Mateyush,@united It was last night's 1235/ORD-LGA.,2015-02-24
600,positive,United,ShawnaNewman,@united thx for update,2015-02-24
601,neutral,United,Sri_Philips,@united thank you !,2015-02-24
602,neutral,United,CATTTastrophe,@united dm these nuts,2015-02-24
603,negative,United,CassiusCCIDog,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!,2015-02-24
604,negative,United,CassiusCCIDog,@united what's the point of asking for details about a #servicedog when you book if your flight crew doesn't read them? (Continued),2015-02-24
605,negative,United,guichaves1989,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys,2015-02-24
606,negative,United,PFlandersdc,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!,2015-02-24
607,positive,United,jakepoznak,@united despite my bag not making it to Newark good informative email tracking updates help!,2015-02-24
608,negative,United,RaquelSnyderDC,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,2015-02-24
609,negative,United,PFlandersdc,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!,2015-02-24
610,negative,United,jkentakula,@united crashed trying to check in.,2015-02-24
611,positive,United,CoreyAStewart,"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy.",2015-02-24
612,neutral,United,alex_nieves,@united thanks for the info I already knew...,2015-02-24
613,neutral,United,MyCustoAdvocate,@united Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,2015-02-24
614,negative,United,JohnJReid,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!,2015-02-24
615,neutral,United,screamingbrat,@united Thank you.,2015-02-24
616,negative,United,Maxxisonfire,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam,2015-02-24
617,neutral,United,kelseyblack92,@united is there an email address I can reach? Too long for a DM.,2015-02-24
618,negative,United,Guggero,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.,2015-02-24
619,negative,United,Twist_OP,@united ua1673 still waiting! Supposed to depart 9:08,2015-02-24
620,negative,United,andreaSanger,@united it was credit from my last trip that never came in the mail!,2015-02-24
621,negative,United,jammyrascals,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service,2015-02-24
622,negative,United,AmericanNarad,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice,2015-02-24
623,negative,United,fatwmnonthemtn,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.,2015-02-24
624,negative,United,tuckerI84,@united how do I get my account number if your website says email is unavailable?,2015-02-24
625,neutral,United,christinphillip,@united So do I need to book two one ways in order for her to fly as an unaccompanied minor?,2015-02-24
626,negative,United,ChrisNielsen2,"@united I received 1 bag last night, I am still missing the other one.",2015-02-24
627,negative,United,campilley,"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench.",2015-02-24
628,neutral,United,Hannahsfight1,@united Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/kQnrrP86A5,2015-02-24
629,neutral,United,brimalxx,"@united bet you wont honour them, like mine ey",2015-02-24
630,negative,United,Twist_OP,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling,2015-02-24
631,neutral,United,Evan_Flay,"@united I guess that's too much ask, huh?",2015-02-24
632,negative,United,Evan_Flay,@united but it's hard to stay upset at someone when they at least TRY to show remorse.,2015-02-24
633,negative,United,Evan_Flay,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,",2015-02-24
634,negative,United,Evan_Flay,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,2015-02-24
635,negative,United,8629Fissile,@united Fingers crossed &amp; its all intact. Very disappointed with this experience as before this we were actually saying we enjoyed using you,2015-02-24
636,negative,United,Evan_Flay,"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine.",2015-02-24
637,negative,United,Evan_Flay,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.,2015-02-24
638,negative,United,Evan_Flay,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought,2015-02-24
639,negative,United,christinphillip,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.,2015-02-24
640,negative,United,growingpangs,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service",2015-02-24
641,neutral,United,TaylorGravett,@united please be good to me this weekend!,2015-02-24
642,negative,United,Mateyush,"@united I asked a legitimate question about systemwide vs. localized problems, and got back an unreLate Flightd copy/paste. You can do better.",2015-02-24
643,negative,United,mortgagesbycoop,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.,2015-02-24
644,negative,United,dlm_3,@united I see you guys are at it again. Amazing how one company continually makes mistakes yet fails to be held accountable for their error,2015-02-24
645,neutral,United,Cecilia_stories,@united A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0,2015-02-24
646,negative,United,etiyi,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.,2015-02-24
647,neutral,United,etiyi,@united yall should probably work on that.,2015-02-24
648,negative,United,throthra,"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused",2015-02-24
649,negative,United,throthra,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.,2015-02-24
650,negative,United,throthra,@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?,2015-02-24
651,negative,United,missinver,@united Could this email be resent as it doesnt appear to have arrived.,2015-02-24
652,neutral,United,cehertz,@united yes please! Trying to get to POP- in Newark now....,2015-02-24
653,negative,United,_mhertz,@united you have to follow me in order for me to DM...come on now,2015-02-24
654,negative,United,AurelAssan,"@united $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice",2015-02-24
655,negative,United,ajpape,@united So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag....,2015-02-24
656,negative,United,christinphillip,@united I did DM the details but still no response. I have to book today.,2015-02-24
657,neutral,United,WhatSarahSayzz,@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏,2015-02-24
658,neutral,United,kathryn217628,@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?,2015-02-24
659,negative,United,BouleChitte,@united not able to DM you my confirmation number,2015-02-24
660,negative,United,xRaeCatherine,"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?",2015-02-24
661,negative,United,missinver,@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!,2015-02-24
662,neutral,United,BouleChitte,@united DM does not work what do I do?,2015-02-24
663,positive,United,BouleChitte,@united private jet would have been cool! Do does not work. I'll try again,2015-02-24
664,negative,United,Kalbozey,@united we were not given the option of using our United TravelBank in a recent Flight Booking Problems! Any help in using or recouping these funds? Thanks!,2015-02-24
665,negative,United,Sri_Philips,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago,2015-02-24
666,neutral,United,BouleChitte,@united how about 3659 YUL-ORD?,2015-02-24
667,negative,United,bcarlsrud,"@united yep that's correct, I got an email at 12:30 am that the flight was Cancelled Flightled, doesn't matter now flight into atl is delayed, thx",2015-02-24
668,negative,United,dkesten71,@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know,2015-02-24
669,neutral,United,LukeGzus,@united Done and done,2015-02-24
670,positive,United,ShawnaNewman,"@united thanks, just sent :)",2015-02-24
671,negative,United,BouleChitte,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?",2015-02-24
672,negative,United,Evan_Flay,@united I'm so frustrated and nervous because of this.,2015-02-24
673,negative,United,Evan_Flay,@united are the ones who make it difficult for me.,2015-02-24
674,negative,United,Evan_Flay,@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You,2015-02-24
675,negative,United,bcarlsrud,@united how does it get Cancelled Flightled 10 hours before take off?,2015-02-24
676,negative,United,Evan_Flay,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?",2015-02-24
677,negative,United,Evan_Flay,@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?,2015-02-24
678,negative,United,MeganHolstein,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication,2015-02-24
679,neutral,United,brooklyn_dodger,.Thnx for the response @united bot. It seems this 'improvement' could be easily attained. Is your 1st Class service really only worth $50?,2015-02-24
680,positive,United,T2News,"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round",2015-02-24
681,neutral,United,ShawnaNewman,"@united booked award tix on ThaiAirways but I'm not seeing a conf# for them, just the United Flight Booking Problems#. Can you get get the Thai# for me?",2015-02-24
682,negative,United,BrittanyWolgast,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(,2015-02-24
683,negative,United,bcarlsrud,@united checking to see why flight 3466 (atl-ord) got Cancelled Flighted?,2015-02-24
684,negative,United,Evan_Flay,@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.,2015-02-24
685,negative,United,Evan_Flay,@united Booked a flight home over 7 months ago and requested seats together for my fiancée and I. We got 2 middle seats. UNACCEPTABLE. The,2015-02-24
686,negative,United,CATTTastrophe,@united YOU GUYS ARE HORRIBLE.,2015-02-24
687,positive,United,Gouwerijn,@united thnx for the info,2015-02-24
688,negative,United,GSG_President,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher,2015-02-24
689,negative,United,jasonpblakey,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines",2015-02-24
690,positive,United,RichHays,@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...,2015-02-24
691,negative,United,Spanner2,@united AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel,2015-02-24
692,neutral,United,msalvatore15,@united is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather,2015-02-24
693,negative,United,inspirevery,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC,2015-02-24
694,negative,United,Twist_OP,@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???,2015-02-24
695,positive,United,jakepoznak,@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.,2015-02-24
696,negative,United,sothenbethsaid,@united to speak to a real person to get this resolved politely and efficiently. (2/2),2015-02-24
697,negative,United,sothenbethsaid,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)",2015-02-24
698,negative,United,michaelsalinger,@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines,2015-02-24
699,positive,United,SaipanBrad,@united Every United flight between Saipan and Guam is an adventure! You never know when @CapeAir's old plane will be operational :),2015-02-24
700,negative,United,sothenbethsaid,@united hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out,2015-02-24
701,negative,United,michaelsalinger,@united did our bags leave Washington yet? That would be convenient seeing as we left there a day ago. #UnitedAirlines #lostluggage,2015-02-24
702,neutral,United,JesseLitsch,@united so if I'm flying 1st class just one leg to Chicago but not on my long flight to China am I still able to use the lounge in Chicago,2015-02-24
703,negative,United,sothenbethsaid,"@united according to your DMs, I'm not owed a refund. please may I be provided with a contact number before I go to my bank to file claim",2015-02-24
704,negative,United,LukeGzus,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.,2015-02-24
705,neutral,United,8629Fissile,@united Okay thank you,2015-02-24
706,neutral,United,LukeGzus,@united I've filed the claim but have no way of calling for updates. Is there another way to do this?,2015-02-24
707,negative,United,shortfatnhappy,@united pls properly train your agents. Requested to speak to 1k customer service &amp; was transferred to a dead end. Not even open at this hr,2015-02-24
708,negative,United,LukeGzus,@united Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes....,2015-02-24
709,positive,United,PhilFromChico,@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.,2015-02-24
710,negative,United,Finrz,"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN",2015-02-24
711,negative,United,FreedomFilmNJ,@united terminal at MIA should have food open before 5am esp when there are flights at 6am. Two hours early like recommended. Can't eat.,2015-02-24
712,negative,United,DJPartyMarty,@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome,2015-02-24
713,negative,United,sothenbethsaid,"@united has not responded to my various requests for contact numbers, does anyone know the UK customer service number for #UnitedAirlines",2015-02-24
714,negative,United,michaelsalinger,@united how we looking on getting those bags to Lusaka,2015-02-24
715,negative,United,8629Fissile,@united Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday!,2015-02-24
716,positive,United,The5y5Adm1n,@united thank you. Been trying for two days to set this up.,2015-02-24
717,negative,United,urno12,@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight,2015-02-24
718,negative,United,vancouverbrit,@united LHR arrival lounge #fail. Waited 20 mins for shower then left to find hotel. U know how many passengers u carry. Planning???,2015-02-24
719,neutral,United,The5y5Adm1n,@united Any luck with finalizing my reservation? I DM'd information to you. Please let me know what else you need. Want to confirm ASAP. Thx,2015-02-24
720,negative,United,lindaSWC,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...,2015-02-23
721,positive,United,raulcordenillo,@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer,2015-02-23
722,positive,United,urno12,@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care,2015-02-23
723,positive,United,FIETA_DOC,"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!",2015-02-23
724,negative,United,CellucorJulio,"@united nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room...",2015-02-23
725,neutral,United,michaelsalinger,@united keep me updated. Let me know that the bags make the flight to j-burg,2015-02-23
726,negative,United,tiffy_mac,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!",2015-02-23
727,negative,United,tiffy_mac,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..,2015-02-23
728,negative,United,lindaSWC,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United.",2015-02-23
729,negative,United,vaficionado,"@united It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here.",2015-02-23
730,negative,United,747_TJ,@united Thanks for the lack of help and the canned response from the 1K desk!,2015-02-23
731,negative,United,747_TJ,@united   It's too bad UA has had another unforeseeable operational issue on my return flight.,2015-02-23
732,neutral,United,xRaeCatherine,@united I would like to know what's going on before his current flight lands.,2015-02-23
733,negative,United,mortgagesbycoop,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?,2015-02-23
734,negative,United,kbleggett,@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL,2015-02-23
735,positive,United,Emily_VII,@united you are one great airline ❤️,2015-02-23
736,negative,United,fairplay500,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required,2015-02-23
737,negative,United,kbleggett,@lindaSWC @united:  We don't like to hear you had a poor experience. Please share details w/our Customer Care team http://t.co/HIsc4NdMgZ.,2015-02-23
738,negative,United,lindaSWC,@united no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.,2015-02-23
739,neutral,United,fairplay500,@united This is NOT a local UNITED number for Malaysia   0011 800-55558000. What is your local United Airlines here in Kuala Lumpur ( KUL )?,2015-02-23
740,negative,United,mortgagesbycoop,@united okay ase24766m. Find our luggage.,2015-02-23
741,negative,United,cristobalwong,@united The agent that met us at the gate said any issues w/delays on UA1116 would have to be taken up online...,2015-02-23
